#KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,SC,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,jmag,hmag,kmag,parallax,parallax_error
7777443,Kepler,-1,1,0.8851249,0.0000009000000000000001,54954.257271,0.034449,0.3859,0.1371,0.16,0.0885,0.5011,0.63,298.854,43.435,78.1399,7.7834,11.914,8224,True,8402,232,-365,3.748,0.42,-0.14,-0.12,0.35,-0.35,3.157,0.96,-1.441,2.039,0.384,-0.469,11.303,11.213,11.129,0.8399841177743321,0.026127619273904387
3954798,Kepler,-1,1,0.91848,0.0000009000000000000001,54953.84170599999,0.024509,0.7447,0.1853,0.1308,0.1092,0.5019,0.58,291.6514,39.0381,71.619,10.4594,13.608,6140,True,6269,177,-221,4.236,0.167,-0.185,-0.12,0.25,-0.3,1.316,0.409,-0.273,1.086,0.181,-0.148,13.371,12.838,12.695,0.8201702190720785,0.017882050756900292
8758161,Kepler,-1,1,0.9982175999999999,0.000001,54953.832607000004,0.024275,0.0862,-1,0.1327,-1,1,0.58,293.6205,44.9673,77.6887,11.8107,12.457,6729,True,6980,168,-264,4.06,0.24,-0.16,-0.38,0.3,-0.3,1.755,0.513,-0.513,1.292,0.19,-0.211,11.365,11.032,11.009,1.2193405765704135,0.026671744447153003
8669092,Kepler,68,1,1.0008312,0.000001,54954.28886,0.009359000000000001,0.0032,-1,0.0506,-1,1,0.5,281.8931,44.8275,74.1852,19.3966,12.733,6028,True,6287,170,-189,3.558,0.353,-0.118,-0.82,0.35,-0.3,3.177,0.588,-1.372,1.328,0.159,-0.345,11.741,11.441,11.402,1.026560445486674,0.09286912845323192
10736223,Kepler,-1,1,1.1050943000000002,0.0000012,54965.545054999995,0.024338,0.6923,0.1467,0.1122,0.1042,0.5003,0.56,293.8462,48.0503,80.5852,13.0469,13.651,7797,True,8011,223,-335,3.773,0.399,-0.07,-0.2,0.2,-0.35,2.927,0.314,-1.256,1.855,0.101,-0.379,12.876,12.663,12.601,0.6411134857555504,0.017966241783101862
7449844,Kepler,1452,1,1.1522181999999999,0.0000013,54965.124308000006,0.015778999999999998,0.0116,-1,0.0779,-1,1,0.46,293.2815,43.0558,75.8353,11.167,13.63,6834,True,5560,268,-1005,2.619,0.075,-0.225,0.56,0.05,-0.25,15.113,4.094,-4.094,3.468,0.152,-0.913,12.727,12.502,12.449,0.556548198291421,0.018177414173170345
5623923,Kepler,-1,1,1.2087496000000002,0.0000126,54999.527782000005,0.037279,0.083,0.0279,0.1121,0.093,0.5015,0.61,293.0064,40.8546,73.7437,10.3516,16.517,8300,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10661783,Kepler,-1,1,1.2313633,0.0000014,54954.954320000004,0.039362,0.2178,0.1129,0.1591,0.1713,0.4992,0.62,290.2984,47.9786,79.4815,15.1661,9.586,7887,True,8117,225,-338,3.724,0.416,-0.104,-0.16,0.2,-0.35,3.237,0.792,-1.471,2.024,0.387,-0.472,9.264,9.175,9.177,2.120517087529039,0.045565544803082614
6206751,Kepler,-1,1,1.2453334999999999,0.0000014,54954.013099,0.026099,0.2421,0.0863,0.1047,0.0894,0.5008,0.56,292.4063,41.513,74.1343,11.0517,12.142,6965,True,6967,76,-83,4.25,0.042,-0.119,0.02,0.15,-0.15,1.476,0.293,-0.098,1.414,0.111,-0.071,11.26,11.054,10.999,1.4235874039911096,0.024357835505101382
9164561,Kepler,-1,1,1.2670378,0.0000015,54965.255669000006,0.031226999999999998,0.0482,0.0261,0.1051,0.1015,0.5,0.61,295.6152,45.5047,78.8328,10.8092,13.709,8059,True,8275,200,-372,3.726,0.42,-0.14,-0.08,0.3,-0.4,3.251,0.97,-1.455,2.053,0.404,-0.449,13.013,12.897,12.828,0.410630692677851,0.013726262567504173
2557430,Kepler,-1,1,1.2977364,0.0000015,54954.461036,0.017907,0.0403,0.0306,0.079,0.0743,0.5005,0.51,286.8453,37.8159,68.8435,13.3388,11.471,6248,True,6531,146,-178,4.12,0.246,-0.164,-0.34,0.25,-0.3,1.524,0.421,-0.421,1.117,0.193,-0.145,10.411,10.143,10.024,2.9511166502293285,0.024590639741900143
4574310,Kepler,-1,1,1.3062201,0.0000015,54954.661614,0.029268000000000002,0.4811,0.1394,0.1125,0.1101,0.5016,0.56,294.9937,39.6428,73.372,8.4452,13.242,6337,True,6600,178,-218,4.238,0.27,-0.18,-1.52,0.3,-0.25,1.124,0.247,-0.302,0.796,0.082,-0.041,12.25,11.957,11.866,0.9190156559838873,0.016512749749184128
9899416,Kepler,-1,1,1.3325545,0.0000016,54954.389538999996,0.040326,0.6269,0.1757,0.1446,0.1276,0.4992,0.6,295.2281,46.7849,79.8618,11.6412,10.028,8608,True,8853,242,-450,3.742,0.42,-0.15,0.07,0.2,-0.6,3.57,0.994,-1.845,2.564,0.318,-0.954,9.628,9.539,9.505,1.4332920145884935,0.03499516247691535
9953894,Kepler,-1,1,1.3825995,0.0000017,54954.535285000005,0.059284,0.1337,0.1355,0.0786,0.0725,0.5008,0.74,292.9217,46.8121,79.1614,13.0644,11.083,7295,True,7511,206,-335,3.685,0.416,-0.078,0.12,0.2,-0.3,3.334,0.502,-1.505,1.963,0.132,-0.421,10.46,10.352,10.287,0.8978802761824388,0.025207980112770974
10028352,Kepler,1957,1,1.3868021000000001,0.0000017,55020.998425,0.015135,0.0002,-1,0.049,-1,1,0.36,297.7922,46.9358,80.8428,10.1686,12.655,6191,True,6823,61,-91,4.04,0.121,-0.148,0.36,0.1,-0.2,2.037,0.486,-0.365,1.66,0.155,-0.155,11.671,11.425,11.359,0.6732827436137556,0.021252950741859684
9007918,Kepler,-1,1,1.3872069,0.0000017,54954.746682000005,0.023254,0.1549,0.0268,0.0876,0.0819,0.4968,0.52,286.0084,45.356,75.7798,16.8624,11.658,6939,True,7207,201,-277,4.06,0.198,-0.162,-0.16,0.25,-0.35,1.894,0.576,-0.471,1.499,0.221,-0.265,10.917,10.782,10.727,1.543380963519356,0.02414830506946635
8081389,Kepler,-1,1,1.4894405000000002,0.0000019,54965.004200999996,0.031624,0.41,0.1035,0.1106,0.104,0.5013,0.56,284.622,43.972,74.0544,17.2712,13.99,6639,True,6962,192,-288,4.148,0.162,-0.198,-0.24,0.25,-0.3,1.62,0.51,-0.382,1.352,0.202,-0.224,12.907,12.56,12.549,0.7224092365573965,0.3070562289750505
5513861,Kepler,-1,1,1.5102117,0.000002,54954.995935,0.029084,0.2534,0.2422,0.1007,0.1028,0.4994,0.57,284.3522,40.7147,70.8166,16.2521,11.638,6170,True,6592,105,-157,4.369,0.032,-0.097,-0.12,0.15,-0.15,1.19,0.171,-0.085,1.211,0.077,-0.102,10.7,10.462,10.429,1.3421088776132353,0.0255645562775506
